ClientNum,Throughput,Latency_ms,ValueSize,WriteRatio
200, 5881.877966, 47.000000, 16, 0.5
200, 5587.222087, 50.000000, 16, 0.5
200, 5397.165564, 47.000000, 16, 0.5
220, 5636.638656, 55.000000, 16, 0.5
220, 5521.290933, 53.000000, 16, 0.5
220, 5473.785020, 52.000000, 16, 0.5
220, 5499.539734, 54.000000, 16, 0.5
220, 5513.368816, 50.000000, 16, 0.5
240, 5730.238817, 60.000000, 16, 0.5
240, 5533.930722, 57.000000, 16, 0.5
240, 5319.095765, 63.000000, 16, 0.5
240, 5760.620415, 59.000000, 16, 0.5
240, 5552.347788, 61.000000, 16, 0.5
260, 5927.065991, 59.000000, 16, 0.5
260, 5528.826692, 63.000000, 16, 0.5
260, 5500.048449, 65.000000, 16, 0.5
260, 5581.868792, 63.000000, 16, 0.5
280, 5871.016681, 65.000000, 16, 0.5
280, 5504.445146, 71.000000, 16, 0.5
280, 5316.361282, 71.000000, 16, 0.5
280, 5080.595780, 63.000000, 16, 0.5
280, 5080.111169, 67.000000, 16, 0.5
300, 5322.685898, 75.000000, 16, 0.5
300, 5275.453564, 76.000000, 16, 0.5
300, 5329.345596, 72.000000, 16, 0.5
300, 5327.998697, 76.000000, 16, 0.5
300, 5571.040399, 73.000000, 16, 0.5
20, 5034.079173, 5.000000, 16, 0.95
20, 4260.942451, 5.000000, 16, 0.95
20, 4336.581845, 5.000000, 16, 0.95
20, 4904.243255, 6.000000, 16, 0.95
40, 5865.745959, 10.000000, 16, 0.95
40, 4619.154489, 10.000000, 16, 0.95
40, 5706.208983, 10.000000, 16, 0.95
40, 5899.874660, 10.000000, 16, 0.95
40, 5797.960243, 10.000000, 16, 0.95
60, 5950.346008, 14.000000, 16, 0.95
60, 5666.798044, 16.000000, 16, 0.95
60, 5617.772208, 17.000000, 16, 0.95
60, 5718.072356, 16.000000, 16, 0.95
60, 5646.901800, 15.000000, 16, 0.95
80, 5991.159183, 21.000000, 16, 0.95
80, 5638.848303, 19.000000, 16, 0.95
80, 5873.803561, 20.000000, 16, 0.95
80, 5645.738331, 21.000000, 16, 0.95
80, 5789.446318, 20.000000, 16, 0.95
100, 5696.575238, 29.000000, 16, 0.95
100, 5692.136949, 25.000000, 16, 0.95
100, 5481.158713, 29.000000, 16, 0.95
100, 5899.722331, 25.000000, 16, 0.95
120, 5775.486042, 30.000000, 16, 0.95
120, 5723.098442, 31.000000, 16, 0.95
120, 5727.493301, 31.000000, 16, 0.95
120, 5499.647928, 30.000000, 16, 0.95
120, 5266.291219, 35.000000, 16, 0.95
140, 5774.325348, 34.000000, 16, 0.95
140, 5275.952699, 39.000000, 16, 0.95
