,ValueSize,QoS,Throughput
0,128,0,34604.35646266667
1,128,1,29515.404351666668
2,128,2,27186.80695833333
3,1024,0,16084.841375666665
4,1024,1,16274.000812666667
5,1024,2,15755.404471666669
6,10240,0,3549.939798
7,10240,1,3614.1186250000005
8,10240,2,3548.5130513333334
