,ValueSize,QoS,Throughput
0,128,0,8951.995421666668
1,128,1,1082.3428646666669
2,128,2,537.6951436666667
3,1024,0,8929.769443333333
4,1024,1,1106.1315183333334
5,1024,2,558.365129
6,10240,0,8481.343914666666
7,10240,1,1126.2706110000001
8,10240,2,581.5008993333335
