,ValueSize,QoS,Throughput
0,128,0,22031.901758333333
1,128,1,4930.578363333333
2,128,2,3669.3517640000005
3,1024,0,21019.812552333333
4,1024,1,4479.296832999999
5,1024,2,3341.551227
6,10240,0,8668.685601666666
7,10240,1,2604.6572343333337
8,10240,2,1864.8992190000001
