,ValueSize,Ratio,Throughput
0,16,0.05,6107.0238346666665
1,16,0.5,5875.312932333334
2,16,0.95,5789.971728333334
3,128,0.05,6054.318291333333
4,128,0.5,5490.753362333334
5,128,0.95,4977.662043
6,1024,0.05,5625.527679
7,1024,0.5,4318.643120333333
8,1024,0.95,3504.9477170000005
