,ValueSize,Ratio,Throughput
0,16,0.05,1046.6979276666666
1,16,0.5,1067.867347333333
2,16,0.95,1041.4872883333333
3,128,0.05,1127.5333746666665
4,128,0.5,1010.5348376666666
5,128,0.95,1066.9288626666666
6,1024,0.05,1111.5651206666669
7,1024,0.5,1102.494511
8,1024,0.95,1107.2021056666665
