ClientNum,Throughput,Latency_ms,ValueSize,WriteRatio
5, 686.279338, 9.000000, 128, 0.05
5, 687.379764, 9.000000, 128, 0.05
5, 690.638357, 9.000000, 128, 0.05
10, 893.233265, 14.000000, 128, 0.05
10, 954.012050, 14.000000, 128, 0.05
10, 904.802135, 14.000000, 128, 0.05
10, 960.786249, 13.000000, 128, 0.05
10, 925.729768, 14.000000, 128, 0.05
15, 1044.960267, 18.000000, 128, 0.05
15, 424.338965, 49.000000, 128, 0.05
15, 1066.263157, 18.000000, 128, 0.05
15, 276.472630, 56.000000, 128, 0.05
15, 1050.057173, 18.000000, 128, 0.05
20, 1124.164562, 22.000000, 128, 0.05
20, 1136.630402, 22.000000, 128, 0.05
20, 1149.743827, 21.000000, 128, 0.05
20, 1120.435985, 22.000000, 128, 0.05
20, 1121.805160, 22.000000, 128, 0.05
25, 1138.574249, 26.000000, 128, 0.05
25, 614.839788, 48.000000, 128, 0.05
25, 1121.092727, 27.000000, 128, 0.05
25, 557.029448, 52.000000, 128, 0.05
25, 1119.229216, 27.000000, 128, 0.05
30, 390.316869, 86.000000, 128, 0.05
30, 591.076975, 65.000000, 128, 0.05
30, 329.247996, 91.000000, 128, 0.05
30, 1136.446981, 32.000000, 128, 0.05
30, 407.473359, 86.000000, 128, 0.05
35, 208.001966, 136.000000, 128, 0.05
35, 381.606247, 101.000000, 128, 0.05
35, 305.465796, 95.000000, 128, 0.05
35, 397.777495, 97.000000, 128, 0.05
35, 1164.135905, 36.000000, 128, 0.05
40, 238.911669, 162.000000, 128, 0.05
40, 247.233736, 176.000000, 128, 0.05
40, 329.910690, 145.000000, 128, 0.05
40, 389.431512, 133.000000, 128, 0.05
40, 231.329281, 153.000000, 128, 0.05
5, 673.947619, 10.000000, 128, 0.5
5, 683.554091, 10.000000, 128, 0.5
5, 681.522797, 10.000000, 128, 0.5
5, 668.456758, 10.000000, 128, 0.5
5, 677.626986, 10.000000, 128, 0.5
10, 914.385478, 14.000000, 128, 0.5
10, 917.675805, 14.000000, 128, 0.5
10, 918.176328, 14.000000, 128, 0.5
10, 938.791191, 14.000000, 128, 0.5
10, 931.537912, 14.000000, 128, 0.5
15, 150.171181, 86.000000, 128, 0.5
15, 1012.426529, 19.000000, 128, 0.5
15, 988.486218, 19.000000, 128, 0.5
15, 1030.691766, 19.000000, 128, 0.5
15, 1050.638746, 18.000000, 128, 0.5
20, 1113.780513, 22.000000, 128, 0.5
20, 1105.231862, 22.000000, 128, 0.5
20, 565.865924, 48.000000, 128, 0.5
20, 1073.645151, 23.000000, 128, 0.5
20, 733.119506, 39.000000, 128, 0.5
25, 387.366526, 85.000000, 128, 0.5
25, 406.093606, 71.000000, 128, 0.5
25, 1131.907958, 27.000000, 128, 0.5
25, 1035.907447, 29.000000, 128, 0.5
25, 1116.871502, 28.000000, 128, 0.5
30, 220.261241, 137.000000, 128, 0.5
30, 335.584424, 94.000000, 128, 0.5
30, 199.433122, 154.000000, 128, 0.5
30, 1142.103898, 31.000000, 128, 0.5
30, 199.052774, 170.000000, 128, 0.5
35, 555.384782, 105.000000, 128, 0.5
35, 401.468147, 113.000000, 128, 0.5
35, 201.797794, 174.000000, 128, 0.5
35, 571.300163, 84.000000, 128, 0.5
35, 731.830540, 47.000000, 128, 0.5
40, 1085.642256, 44.000000, 128, 0.5
40, 1122.043600, 42.000000, 128, 0.5
40, 460.337732, 88.000000, 128, 0.5
40, 784.125640, 51.000000, 128, 0.5
40, 207.940388, 189.000000, 128, 0.5
10, 906.285895, 14.000000, 16, 0.95
5, 700.470511, 9.000000, 1024, 0.05
5, 693.063453, 9.000000, 1024, 0.05
5, 692.671534, 9.000000, 1024, 0.05
5, 697.276958, 9.000000, 1024, 0.05
5, 703.547623, 9.000000, 1024, 0.05
10, 977.020592, 13.000000, 1024, 0.05
5, 654.174861, 10.000000, 1024, 0.05
5, 694.160692, 9.000000, 1024, 0.05
