ValueSize,PublisherNum,SubscribersNum,QoS,Latency_ms
1024,500,7,0,7
1024,550,7,0,15
1024,550,7,0,5
1024,550,7,0,4
1024,550,7,0,5
1024,550,7,0,7
1024,600,7,0,14
1024,600,7,0,5
1024,600,7,0,9
1024,600,7,0,4
1024,600,7,0,16
1024,650,7,0,16
1024,650,7,0,6
1024,650,7,0,12
1024,650,7,0,5
1024,650,7,0,7
1024,700,7,0,24
1024,700,7,0,12
1024,700,7,0,7
1024,700,7,0,11
1024,700,7,0,18
1024,750,7,0,3
1024,750,7,0,17
1024,750,7,0,16
1024,750,7,0,20
1024,750,7,0,10
1024,800,7,0,23
1024,800,7,0,9
1024,800,7,0,16
1024,800,7,0,5
1024,850,7,0,9
1024,850,7,0,7
1024,850,7,0,7
1024,850,7,0,11
1024,850,7,0,16
1024,900,7,0,9
1024,900,7,0,7
1024,900,7,0,12
1024,900,7,0,18
1024,900,7,0,9
1024,950,7,0,10
1024,950,7,0,16
1024,950,7,0,11
1024,950,7,0,22
1024,1000,7,0,6
1024,1000,7,0,28
1024,1000,7,0,5
1024,1000,7,0,8
1024,1000,7,0,24
1024,100,7,1,5
1024,100,7,1,16
1024,100,7,1,4
1024,100,7,1,4
1024,100,7,1,7
1024,150,7,1,5
1024,150,7,1,6
1024,150,7,1,4
1024,150,7,1,7
1024,150,7,1,5
1024,200,7,1,16
1024,200,7,1,4
1024,200,7,1,6
1024,200,7,1,4
1024,200,7,1,3
1024,250,7,1,8
1024,250,7,1,7
1024,250,7,1,9
1024,250,7,1,6
1024,250,7,1,8
1024,300,7,1,5
1024,300,7,1,7
1024,300,7,1,7
1024,300,7,1,10
1024,300,7,1,6
1024,350,7,1,7
1024,350,7,1,13
1024,350,7,1,27
1024,350,7,1,12
1024,350,7,1,10
1024,400,7,1,10
1024,400,7,1,8
1024,400,7,1,19
1024,400,7,1,19
1024,450,7,1,6
1024,450,7,1,10
1024,450,7,1,6
1024,450,7,1,14
1024,450,7,1,12
1024,500,7,1,6
