,Threads,Throughput,Latency,Request,ReadWrite
0,10,3242.1123946666667,1.7599776666666667,1024,0.05000000000000001
1,20,5730.008629666667,2.1107983333333333,1024,0.05000000000000001
2,30,7718.1734989999995,2.573252666666667,1024,0.05000000000000001
3,40,9934.257533999998,2.718018666666667,1024,0.05000000000000001
4,50,12061.015067333332,3.1921093333333332,1024,0.05000000000000001
5,60,12065.81555,4.09241,1024,0.05000000000000001
6,70,12939.935872,4.37821,1024,0.05000000000000001
7,80,15421.430595666667,4.457883333333332,1024,0.05000000000000001
8,90,15122.580516333333,5.503201999999999,1024,0.05000000000000001
9,100,15983.069189125,4.901346,1024,0.049999999999999996
10,200,21621.92308433333,10.577638333333333,1024,0.05000000000000001
11,300,24320.278009999998,18.823666666666664,1024,0.05000000000000001
12,400,25805.842889666663,28.965282,1024,0.05000000000000001
13,500,26835.992977,29.765079333333333,1024,0.05000000000000001
14,600,26126.940695999994,39.95567333333334,1024,0.05000000000000001
15,700,28427.535332999996,36.65137733333333,1024,0.05000000000000001
16,800,28356.890369666664,46.909355,1024,0.05000000000000001
17,900,28882.685513333334,44.800124333333336,1024,0.05000000000000001
