,Threads,Throughput,Latency,ValueSize,Ratio
0,5,2015.0510625000002,2.0,1024,0.05
1,10,3137.641748666667,3.0,1024,0.05000000000000001
2,15,3817.1636390000003,4.0,1024,0.05
3,20,4632.103065,6.0,1024,0.05000000000000001
4,40,5227.093581666667,11.666666666666666,1024,0.05000000000000001
5,60,5639.577416666667,17.333333333333332,1024,0.05000000000000001
6,80,5096.823311,23.5,1024,0.05
7,100,5585.950672,27.333333333333332,1024,0.05000000000000001
8,120,5331.373543000001,35.0,1024,0.05000000000000001
9,140,4933.102994333333,38.666666666666664,1024,0.05000000000000001
10,160,5311.199428,41.0,1024,0.05000000000000001
11,180,5209.813901,48.666666666666664,1024,0.05000000000000001
12,200,5361.981371333333,53.333333333333336,1024,0.05000000000000001
13,220,5301.6268586666665,55.666666666666664,1024,0.05000000000000001
14,240,5018.707284,69.66666666666667,1024,0.05000000000000001
15,260,5121.172459333334,63.333333333333336,1024,0.05000000000000001
16,280,4902.163916333333,76.33333333333333,1024,0.05000000000000001
17,300,5215.16474,76.66666666666667,1024,0.05000000000000001
18,400,4620.8544225000005,101.5,1024,0.05
19,500,4991.865940333333,142.0,1024,0.05000000000000001
20,600,4728.514400666667,170.66666666666666,1024,0.05000000000000001
21,700,4621.5599213333335,217.33333333333334,1024,0.05000000000000001
22,800,4785.689964666666,267.3333333333333,1024,0.05000000000000001
23,900,4257.246705666667,290.3333333333333,1024,0.05000000000000001
