,0
10%,2.0991666666666666
20%,2.2056666666666667
30%,2.2808333333333333
40%,2.3503333333333334
50%,2.4155
60%,2.477
70%,2.5478333333333336
80%,2.656
90%,16.450333333333333
100%,238.6635
