,Threads,Question Number,Requests,Latency,ThroughPut
0,50,5,500,73.916,16.754498666666667
1,50,20,500,72.79666666666667,16.694274000000004
2,50,100,500,84.888,16.767422999999997
3,200,5,2000,138.41733333333335,66.47597766666667
4,200,20,2000,158.742,66.58700733333332
5,200,100,2000,187.40066666666667,66.586057
6,1000,5,10000,371.297,330.171024
7,1000,20,10000,407.8026666666667,330.02462866666673
8,1000,100,10000,990.444,330.42521566666665
