,ValueSize,QoS,Latency
0,128,0,1.9896666666666667
1,128,1,2.045
2,128,2,1.9386666666666668
3,1024,0,1.971
4,1024,1,2.0543333333333336
5,1024,2,1.9283333333333332
6,10240,0,2.4553333333333334
7,10240,1,2.5386666666666664
8,10240,2,2.3256666666666663
