,ValueSize,QoS,Latency
0,128,0,14.825333333333335
1,128,1,14.710666666666667
2,128,2,17.761
3,1024,0,15.158666666666665
4,1024,1,14.913
5,1024,2,18.032333333333334
6,10240,0,16.032333333333334
7,10240,1,15.787333333333335
8,10240,2,19.162666666666667
