,ValueSize,QoS,Latency
0,128,0,2.307
1,128,1,2.3516666666666666
2,128,2,2.3093333333333335
3,1024,0,2.3203333333333336
4,1024,1,2.356
5,1024,2,2.3676666666666666
6,10240,0,2.9243333333333337
7,10240,1,2.8813333333333335
8,10240,2,2.874
